country,Literacy rate 2021_y,Global rank_y,continent,Superficie
Lithuania,99.83,6.0,europe,65286.0
Namibia,92.25,30.0,africa,824292.0
Gabon,,,africa,267668.0
Lesotho,,,africa,30355.0
Slovenia,,,europe,20273.0
North Macedonia,,,europe,25713.0
Latvia,99.89,4.0,europe,64594.0
Bahrain,,,asia,778.0
Estonia,99.87,5.0,europe,45339.0
Mauritius,92.15,31.0,africa,2040.0
Cyprus,99.36,11.0,asia,9251.0
Eswatini,,,,17363.0
Djibouti,,,africa,23200.0
Fiji,,,oceania,18272.0
Comoros,,,africa,1861.0
Guyana,,,south-america,214969.0
Bhutan,,,asia,38394.0
Solomon Islands,,,oceania,28896.0
Macau,,,,33.0
Luxembourg,,,europe,2586.0
Suriname,95.0,24.0,south-america,163820.0
Montenegro,98.98,14.0,europe,13812.0
Cape Verde,,,africa,4033.0
Malta,94.94,25.0,europe,315.0
Maldives,97.86,20.0,asia,300.0
Brunei,97.59,21.0,asia,5765.0
Belize,,,north-america,22965.0
Bahamas,,,north-america,
Iceland,,,europe,103000.0
Vanuatu,89.1,33.0,oceania,12189.0
New Caledonia,,,,18575.0
Barbados,,,north-america,431.0
Sao Tome and Principe,,,,
Samoa,99.1,13.0,oceania,2842.0
Saint Lucia,,,,616.0
Kiribati,,,oceania,811.0
Grenada,,,north-america,345.0
Micronesia,,,oceania,
Tonga,99.4,10.0,oceania,747.0
Seychelles,,,africa,457.0
Saint Vincent and the Grenadines,,,,389.0
Antigua and Barbuda,,,,442.0
Andorra,,,europe,468.0
Dominica,,,north-america,750.0
Cayman Islands,,,,264.0
Bermuda,,,north-america,54.0
Greenland,,,,2166086.0
Northern Mariana Islands,,,,457.0
Saint Kitts and Nevis,,,,261.0
Turks and Caicos Islands,,,,948.0
Marshall Islands,,,oceania,181.0
Liechtenstein,,,europe,160.0
British Virgin Islands,,,,151.0
Cook Islands,,,,236.0
