"COUNTRY","Country","DLVLEDUC","Level of education","DDESTPRG","Programme destination","DDURPRG","Programme duration","DPROGTYP","Programme orientation","DSTDYTYP","Field of education","DSEX","Gender","YEAR","Year","Value","Flag Codes","Flags"
"CZE","Czechia","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2001","2001",34951,,
"CZE","Czechia","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2002","2002",36041,,
"CZE","Czechia","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2003","2003",40272,,
"CZE","Czechia","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2004","2004",46097,,
"CZE","Czechia","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2005","2005",45670,,
"CZE","Czechia","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2006","2006",60260,,
"CZE","Czechia","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2007","2007",69657,,
"CZE","Czechia","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2008","2008",80694,,
"CZE","Czechia","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2009","2009",88483,,
"CZE","Czechia","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2010","2010",95214,,
"CZE","Czechia","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2011","2011",99839,,
"CZE","Czechia","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2012","2012",99957,,
"DNK","Denmark","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","1999","1999",12418,,
"DNK","Denmark","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2000","2000",15368,,
"DNK","Denmark","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2001","2001",33495,,
"DNK","Denmark","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2002","2002",33035,,
"DNK","Denmark","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2003","2003",36133,,
"DNK","Denmark","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2004","2004",39236,,
"DNK","Denmark","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2005","2005",42195,,
"DNK","Denmark","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2006","2006",40359,,
"DNK","Denmark","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2007","2007",43142,,
"DNK","Denmark","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2008","2008",42114,,
"DNK","Denmark","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2010","2010",46736,,
"DNK","Denmark","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2011","2011",49247,,
"DNK","Denmark","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2012","2012",50332,,
"FIN","Finland","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","1998","1998",22662,,
"FIN","Finland","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","1999","1999",24263,,
"FIN","Finland","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2000","2000",27782,,
"FIN","Finland","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2001","2001",30686,,
"FIN","Finland","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2002","2002",34253,,
"FIN","Finland","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2003","2003",37486,,
"FIN","Finland","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2004","2004",38819,,
"FIN","Finland","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2005","2005",39119,,
"FIN","Finland","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2006","2006",40416,,
"FIN","Finland","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2007","2007",43279,,
"FIN","Finland","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2008","2008",60023,,
"FIN","Finland","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2009","2009",44870,,
"FIN","Finland","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2010","2010",50890,,
"FIN","Finland","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2011","2011",51380,,
"FIN","Finland","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2012","2012",53271,,
"FRA","France","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","1998","1998",356186,,
"FRA","France","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","1999","1999",362584,,
"FRA","France","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2000","2000",362369,,
"FRA","France","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2001","2001",367536,,
"FRA","France","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2002","2002",382661,,
"FRA","France","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2003","2003",412346,,
"FRA","France","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2004","2004",412346,,
"FRA","France","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2005","2005",463296,,
"FRA","France","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2006","2006",434586,,
"FRA","France","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2007","2007",412358,,
"FRA","France","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2008","2008",412730,,
"FRA","France","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2009","2009",411482,,
"FRA","France","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2010","2010",0,"m","Missing value"
"FRA","France","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2011","2011",0,"m","Missing value"
"FRA","France","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2012","2012",0,"m","Missing value"
"DEU","Germany","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","1998","1998",213710,,
"DEU","Germany","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","1999","1999",209598,,
"DEU","Germany","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2000","2000",204398,,
"DEU","Germany","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2001","2001",198203,,
"DEU","Germany","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2002","2002",199863,,
"DEU","Germany","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2003","2003",206365,,
"DEU","Germany","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2004","2004",219746,,
"DEU","Germany","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2005","2005",240092,,
"DEU","Germany","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2006","2006",310923,,
"DEU","Germany","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2007","2007",339543,,
"DEU","Germany","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2008","2008",369913,,
"DEU","Germany","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2009","2009",407463,,
"DEU","Germany","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2010","2010",433726,,
"DEU","Germany","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2011","2011",466645,,
"DEU","Germany","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2012","2012",489703,,
"GRC","Greece","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2001","2001",0,"m","Missing value"
"GRC","Greece","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2002","2002",0,"m","Missing value"
"GRC","Greece","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2003","2003",0,"m","Missing value"
"GRC","Greece","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2004","2004",35779,,
"GRC","Greece","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2005","2005",41951,,
"GRC","Greece","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2006","2006",0,"m","Missing value"
"GRC","Greece","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2007","2007",41185,,
"GRC","Greece","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2008","2008",45590,,
"GRC","Greece","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2010","2010",44305,,
"GRC","Greece","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2011","2011",44870,,
"GRC","Greece","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2012","2012",46149,,
"HUN","Hungary","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","1998","1998",43790,,
"HUN","Hungary","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","1999","1999",47964,,
"HUN","Hungary","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2000","2000",59210,,
"HUN","Hungary","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2001","2001",56681,,
"HUN","Hungary","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2002","2002",60377,,
"HUN","Hungary","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2003","2003",64336,,
"HUN","Hungary","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2004","2004",63232,,
"HUN","Hungary","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2005","2005",68570,,
"HUN","Hungary","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2006","2006",63626,,
"HUN","Hungary","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2007","2007",61125,,
"HUN","Hungary","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2008","2008",57105,,
"HUN","Hungary","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2009","2009",61427,,
"HUN","Hungary","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2010","2010",61858,,
"HUN","Hungary","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2011","2011",57480,,
"HUN","Hungary","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2012","2012",58754,,
"ISL","Iceland","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","1998","1998",1070,,
"ISL","Iceland","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","1999","1999",1281,,
"ISL","Iceland","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2000","2000",1543,,
"ISL","Iceland","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2001","2001",1738,,
"ISL","Iceland","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2002","2002",1910,,
"ISL","Iceland","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2003","2003",2196,,
"ISL","Iceland","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2004","2004",2591,,
"ISL","Iceland","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2005","2005",2756,,
"ISL","Iceland","905160","Tertiary-type A and advanced research programmes","900000","Total","900000","All educational programmes","900000","All educational programmes","900000","Total over all fields of study","90","Total males+females","2006","2006",3220,,
