Countries,Education spending percent of GDP 2021,Global rank,Available data
Ivory Coast,3.37,97,"1970 - 2022"
Mongolia,3.34,98,"1997 - 2022"
Japan,3.32,99,"1971 - 2021"
China,3.3,100,"1971 - 2021"
Serbia,3.3,101,"2007 - 2021"
Panama,3.27,102,"1970 - 2022"
Romania,3.25,103,"1996 - 2021"
Jordan,3.22,104,"1970 - 2022"
Madagascar,3.2,105,"1972 - 2022"
Benin,3.19,106,"1998 - 2022"
Tanzania,3.12,107,"1989 - 2022"
Guatemala,3.11,108,"1970 - 2022"
San Marino,3.11,109,"2002 - 2021"
Zambia,3.11,110,"1970 - 2022"
Albania,3.09,111,"1994 - 2021"
Indonesia,3.05,112,"1972 - 2021"
Trinidad and Tobago,3.01,113,"1980 - 2022"
Thailand,2.99,114,"1971 - 2022"
Ireland,2.98,115,"1971 - 2021"
Vietnam,2.95,116,"2008 - 2022"
Gambia,2.94,117,"1985 - 2022"
Chad,2.89,118,"1997 - 2022"
Turkey,2.85,119,"1978 - 2021"
Cameroon,2.83,120,"1971 - 2022"
Singapore,2.83,121,"1971 - 2022"
Armenia,2.77,122,"1996 - 2022"
Gabon,2.7,123,"1992 - 2022"
Democratic Republic of the Congo,2.66,124,"1980 - 2022"
Uganda,2.64,125,"1971 - 2022"
Andorra,2.58,126,"1997 - 2022"
Liberia,2.53,127,"2008 - 2022"
Angola,2.3,128,"1985 - 2022"
Comoros,2.27,129,"1998 - 2022"
Bahrain,2.22,130,"2006 - 2022"
Guinea,2.04,131,"1991 - 2022"
Bermuda,1.88,132,"1973 - 2022"
Central African Republic,1.87,133,"1978 - 2022"
Laos,1.86,134,"1992 - 2022"
Haiti,1.84,135,"1981 - 2022"
Bangladesh,1.83,136,"1979 - 2022"
Mauritania,1.75,137,"1997 - 2022"
Pakistan,1.69,138,"1971 - 2022"
Cambodia,1.67,139,"1998 - 2021"
Sri Lanka,1.51,140,"1973 - 2022"
Monaco,1.42,141,"1988 - 2021"

